call_path,py_component,c_component,c_path
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_profiler_statistic.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_profiler_statistic.py,DevicePythonNode,DevicePythonNode,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_profiler_statistic.py,HostPythonNode,HostPythonNode,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_profiler_statistic.py,Operator,OperatorBase,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\xpu\test_concat_op_xpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\nn\layer\conv.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\mkldnn\test_cast_mkldnn_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\npu\test_pad3d_op_npu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distributed\ps\the_one_ps.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distributed\ps\the_one_ps.py,PSHost,PSHost,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\fleet_py.cc
F:\python_workplace\Paddle-develop\python\paddle\distributed\ps\the_one_ps.py,values,tensor_method_get_non_zero_elements,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\distributed\ps\the_one_ps.py,is_sparse,tensor_method_is_sparse,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\parallel_executor.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\dist_text_classification.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\detected_gpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_dist_split.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\xpu\test_fill_op_xpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\custom_op\test_context_pool.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_serialization.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_serialization.py,values,tensor_method_get_non_zero_elements,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\tensor\stat.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\tensor\stat.py,indices,tensor_method_get_non_zero_indices,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_fill_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\xpu\test_adadelta_op_xpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\benchmark.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\benchmark.py,Operator,OperatorBase,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_linear.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\testsuite.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\testsuite.py,Operator,OperatorBase,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\ir\inference\test_trt_conv3d_op.py,all calls is excessive,,
